0	72.88276
0.047	49.7452
0.093	34.70579
0.14	24.93017
0.187	18.39383
0.234 14.3274
0.281	11.8664
0.328	10.08457
0.375	9.10856
0.422	8.47416
0.468	7.87961
0.515	7.67534
0.562	7.36038
0.609	7.15565
0.656	7.20477
0.703	7.05451
0.75	6.95684
0.797	6.89335
0.843	6.85209
0.89	6.82526
0.937	6.80783
0.984	6.97868
1.031	7.08974
1.078	7.16192
1.125	6.84447
1.172	6.82031
1.218	6.9868
1.265	6.91283
1.312	7.04693
1.359	6.95191
1.406	6.89015
1.453	7.03219
1.5	7.12452
1.547	7.18453
1.593	7.04135
1.64	6.94829
1.687	6.88779
1.734	7.21284
1.781	7.24194
1.828	7.07867
1.875	6.97254
1.922	7.08575
1.968	6.97714
2.015	7.27092
2.062	7.09751
2.109	6.98479
2.156	7.27589
2.203	7.28292
2.25	7.10531
2.297	7.17204
2.343	7.21542
2.39	7.06143
2.437	7.32571
2.484	7.13312
2.531	7.19012
2.578	7.22717
2.625	7.25125
2.672	7.26691
2.718	7.27708
2.765	7.2837
2.812	7.288
2.859	7.29079
2.906	7.29261
2.953	7.29379
3	7.47674
3.047	7.23129
3.093	7.25393
3.14	7.08646
3.187	6.97761
3.234	6.90685
3.281	7.22523
3.328	8.34311
3.375	11.43814
3.422	15.81832
3.468	22.49133
3.515	31.20124
3.562	42.14606
3.609	54.36139
3.656	67.58473
3.703	80.55236
3.75	91.7141
3.797	100.6089
3.843	106.5727
3.89	109.90262
3.937	110.06302
3.984	106.88795
4.031	100.81607
4.078	92.86127
4.125	83.68256
4.172	73.16177
4.218	63.59047
4.265	54.81853
4.312	48.02365
4.359	43.4248
4.406	40.9821
4.453	41.2162
4.5	43.55459
4.547	48.1717
4.593	54.81653
4.64	62.5972
4.687	71.29834
4.734	79.68686
4.781	87.14344
4.828	93.08333
4.875	97.49082
4.922	99.80913
4.968	99.85855
5.015	97.88663
5.062	93.8721
5.109	88.52987
5.156	82.14245
5.203	75.07567
5.25	67.93166
5.297	61.64838
5.343	56.47114
5.39	52.92375
5.437	51.1645
5.484	50.93191
5.531	52.4204
5.578	55.75633
5.625	60.47528
5.672	65.91101
5.718	71.99483
5.765	77.95336
5.812	82.91951
